Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
JC274310,5/22/2019 19:40,016XX S CENTRAL PARK AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,1021,10,24,29,18,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274722,5/22/2019 19:40,129XX S SANGAMON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,523,5,34,53,11,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274363,5/22/2019 19:40,038XX W HURON ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,FALSE,FALSE,1112,11,27,23,7,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274276,5/22/2019 19:39,080XX S EMERALD AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,621,6,21,71,01A,1172697,1851644,2019,5/29/2019 16:22,41.74834455,-87.64275238,"(41.748344547, -87.64275238)",18,21554,70,529,13,59,20,229
JC274416,5/22/2019 19:38,002XX W 106TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,TRUE,FALSE,512,5,34,49,11,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274357,5/22/2019 19:36,010XX W 68TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,FALSE,724,7,6,68,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274404,5/22/2019 19:35,021XX N MILWAUKEE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1431,14,1,22,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274334,5/22/2019 19:30,062XX S DR MARTIN LUTHER KING JR DR,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,311,3,20,40,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274319,5/22/2019 19:30,071XX S YALE AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,731,7,6,69,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274874,5/22/2019 19:30,018XX N LOCKWOOD AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2532,25,37,25,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274369,5/22/2019 19:24,024XX S CALIFORNIA BLVD,2012,NARCOTICS,MANU/DELIVER:COCAINE,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1034,10,12,30,18,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274419,5/22/2019 19:22,010XX E 43RD ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,222,2,4,39,3,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274328,5/22/2019 19:20,013XX W 18TH ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1233,12,25,31,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274314,5/22/2019 19:20,050XX W JACKSON BLVD,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,FALSE,FALSE,1533,15,28,25,04A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274303,5/22/2019 19:20,0000X N LOTUS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1522,15,29,25,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274285,5/22/2019 19:20,007XX S LAWNDALE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1133,11,24,27,18,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274313,5/22/2019 19:19,029XX W DIVISION ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,TRUE,FALSE,1211,12,26,24,24,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274302,5/22/2019 19:18,101XX S CALIFORNIA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,2211,22,19,72,26,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274286,5/22/2019 19:16,062XX S VERNON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,313,3,20,42,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC281645,5/22/2019 19:15,017XX N SHEFFIELD AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,1811,18,2,7,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274292,5/22/2019 19:15,027XX S TROY ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1033,10,12,30,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274336,5/22/2019 19:15,017XX N WOOD ST,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1434,14,32,24,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC280405,5/22/2019 19:10,019XX W HOOD AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,2413,24,40,2,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274248,5/22/2019 19:10,112XX S VERNON AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,FALSE,531,5,9,49,04B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274434,5/22/2019 19:04,061XX N ELSTON AVE,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,SIDEWALK,FALSE,FALSE,1611,16,39,10,11,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274279,5/22/2019 19:04,073XX S LANGLEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,323,3,6,69,18,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274373,5/22/2019 19:03,003XX N KEDZIE AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,FALSE,FALSE,1123,11,28,27,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274277,5/22/2019 19:02,024XX W ADAMS ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,1125,11,27,28,18,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275518,5/22/2019 19:00,0000X W 71ST ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,TRUE,731,7,6,69,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274291,5/22/2019 19:00,102XX S CALUMET AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,511,5,9,49,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275671,5/22/2019 19:00,066XX N WESTERN AVE,460,BATTERY,SIMPLE,PARK PROPERTY,FALSE,FALSE,2412,24,50,2,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC276172,5/22/2019 19:00,020XX W DIVISION ST,890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,1212,12,1,24,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275140,5/22/2019 19:00,044XX N WESTERN AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1911,19,47,4,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274763,5/22/2019 19:00,029XX N HALSTED ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1934,19,44,6,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275544,5/22/2019 19:00,072XX S FAIRFIELD AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,831,8,18,66,5,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274472,5/22/2019 19:00,045XX S RICHMOND ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,FALSE,FALSE,922,9,15,58,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274301,5/22/2019 18:59,006XX W 47TH PL,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,FALSE,935,9,11,61,04A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274244,5/22/2019 18:55,008XX N MAPLEWOOD AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1211,12,26,24,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274216,5/22/2019 18:52,0000X S LA SALLE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,FALSE,FALSE,122,1,42,32,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
