Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
JC274604,5/22/2019 22:00,079XX S JEFFERY BLVD,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,414,4,8,46,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274470,5/22/2019 22:00,066XX S RHODES AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,321,3,20,42,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275044,5/22/2019 22:00,056XX S SHIELDS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,711,7,3,68,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274801,5/22/2019 22:00,012XX N WOOD ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1424,14,1,24,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274935,5/22/2019 22:00,073XX S WOLCOTT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,735,7,17,67,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274728,5/22/2019 22:00,030XX N NARRAGANSETT AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2511,25,36,19,7,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274939,5/22/2019 22:00,034XX N JANSSEN AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1922,19,44,6,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274529,5/22/2019 21:59,107XX S BENSLEY AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,STREET,TRUE,FALSE,434,4,7,51,26,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274479,5/22/2019 21:54,051XX W CHICAGO AVE,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,1531,15,37,25,26,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274458,5/22/2019 21:49,003XX S MAPLEWOOD AVE,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,1125,11,27,28,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274439,5/22/2019 21:45,043XX W WILCOX ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,ALLEY,FALSE,FALSE,1115,11,28,26,3,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274451,5/22/2019 21:45,029XX N LARAMIE AVE,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2514,25,31,19,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274481,5/22/2019 21:45,068XX S INDIANA AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,322,3,6,69,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274447,5/22/2019 21:45,080XX S SANGAMON ST,460,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,621,6,21,71,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274432,5/22/2019 21:35,079XX S EAST END AVE,5110,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,STREET,TRUE,FALSE,414,4,8,46,26,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274498,5/22/2019 21:30,003XX N GREEN ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1214,12,27,28,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274430,5/22/2019 21:30,128XX S WALLACE ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,523,5,9,53,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275423,5/22/2019 21:30,015XX W SHERWIN AVE,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,2423,24,49,1,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274798,5/22/2019 21:30,054XX N AUSTIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,FACTORY/MANUFACTURING BUILDING,FALSE,FALSE,1622,16,45,11,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274433,5/22/2019 21:30,055XX W WASHINGTON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1522,15,29,25,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275117,5/22/2019 21:27,007XX E 103RD PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,512,5,9,50,26,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274411,5/22/2019 21:25,022XX E 103RD ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,POLICE FACILITY/VEH PARKING LOT,FALSE,TRUE,434,4,7,51,20,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274437,5/22/2019 21:23,064XX S DR MARTIN LUTHER KING JR DR,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,312,3,20,69,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274421,5/22/2019 21:15,066XX S HALSTED ST,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,723,7,6,68,5,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274427,5/22/2019 21:15,088XX S PARNELL AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,2223,22,21,71,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275088,5/22/2019 21:10,0000X E 78TH ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,623,6,6,69,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274417,5/22/2019 21:08,079XX S RIDGELAND AVE,141B,WEAPONS VIOLATION,UNLAWFUL USE OTHER FIREARM,STREET,FALSE,FALSE,414,4,8,46,15,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274405,5/22/2019 21:05,049XX W ADAMS ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1533,15,28,25,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274973,5/22/2019 21:00,029XX W 81ST ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,835,8,18,70,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275415,5/22/2019 21:00,050XX S INDIANA AVE,1585,SEX OFFENSE,OTHER,APARTMENT,FALSE,FALSE,224,2,3,38,17,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274495,5/22/2019 21:00,050XX S MORGAN ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,933,9,20,61,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274395,5/22/2019 21:00,010XX W 80TH ST,460,BATTERY,SIMPLE,STREET,TRUE,FALSE,612,6,21,71,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275238,5/22/2019 21:00,049XX S LAKE SHORE DR SB,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,222,2,5,39,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275823,5/22/2019 21:00,037XX S PAULINA ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,912,9,12,59,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274454,5/22/2019 21:00,041XX W KAMERLING AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,2534,25,37,23,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275396,5/22/2019 21:00,011XX W LAWRENCE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,FALSE,FALSE,1914,19,46,3,11,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274422,5/22/2019 21:00,028XX S LAWNDALE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,FALSE,TRUE,1032,10,22,30,26,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274460,5/22/2019 21:00,036XX W FILLMORE ST,460,BATTERY,SIMPLE,OTHER,FALSE,FALSE,1133,11,24,29,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274857,5/22/2019 21:00,029XX N MILDRED AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1933,19,44,6,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274767,5/22/2019 21:00,037XX W CERMAK RD,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1014,10,24,29,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274576,5/22/2019 21:00,011XX N LOREL AVE,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,FALSE,FALSE,1524,15,37,25,04B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274774,5/22/2019 21:00,078XX S CLYDE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,414,4,8,43,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274817,5/22/2019 21:00,015XX N ARTESIAN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1423,14,1,24,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274413,5/22/2019 21:00,036XX E 104TH ST,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,VEHICLE NON-COMMERCIAL,TRUE,FALSE,432,4,10,52,18,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274880,5/22/2019 21:00,026XX W LOGAN BLVD,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1411,14,32,22,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274471,5/22/2019 21:00,002XX E 31ST ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,211,2,3,35,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274409,5/22/2019 20:59,075XX S ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,612,6,17,71,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274466,5/22/2019 20:55,080XX S UNION AVE,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,621,6,21,71,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274448,5/22/2019 20:53,019XX E 75TH ST,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,PARK PROPERTY,TRUE,FALSE,414,4,8,43,24,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274462,5/22/2019 20:50,006XX N WELLS ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1831,18,42,8,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274414,5/22/2019 20:46,005XX N KEDZIE AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,SIDEWALK,TRUE,FALSE,1221,12,27,23,18,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274392,5/22/2019 20:45,055XX S STATE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,225,2,3,40,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274418,5/22/2019 20:43,024XX W 40TH ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,TRUE,FALSE,921,9,12,58,26,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274391,5/22/2019 20:31,025XX S SPAULDING AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,TRUE,FALSE,1024,10,12,30,15,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274450,5/22/2019 20:30,042XX N GREENVIEW AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1912,19,47,6,5,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274731,5/22/2019 20:30,004XX E 46TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,221,2,3,38,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC277982,5/22/2019 20:30,096XX S ESCANABA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,431,4,10,51,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275789,5/22/2019 20:30,064XX N NEW ENGLAND AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,1611,16,41,10,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274793,5/22/2019 20:30,016XX S HARDING AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,1014,10,24,29,04A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC279180,5/22/2019 20:30,048XX N LAWNDALE AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,FALSE,1712,17,35,14,04B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275276,5/22/2019 20:30,011XX N CROSBY ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1822,18,27,8,7,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275093,5/22/2019 20:30,056XX S SHIELDS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,711,7,3,68,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274376,5/22/2019 20:24,040XX W CERMAK RD,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1013,10,22,29,18,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC278517,5/22/2019 20:22,026XX N MC VICKER AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,FALSE,2512,25,30,19,11,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274401,5/22/2019 20:22,042XX W AUGUSTA BLVD,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,FALSE,1111,11,37,23,2,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274370,5/22/2019 20:21,068XX W ARMITAGE AVE,560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2513,25,29,25,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275268,5/22/2019 20:21,061XX S NARRAGANSETT AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,812,8,13,64,26,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274366,5/22/2019 20:20,063XX N RIDGE AVE,560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2433,24,40,2,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274360,5/22/2019 20:20,032XX W LAWRENCE AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1713,17,33,14,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274361,5/22/2019 20:16,034XX W 65TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,823,8,23,66,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274733,5/22/2019 20:15,014XX N LAKE SHORE DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1824,18,43,8,11,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274377,5/22/2019 20:15,008XX W NORTH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,SMALL RETAIL STORE,TRUE,FALSE,1822,18,2,8,11,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274359,5/22/2019 20:12,061XX N RICHMOND ST,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,2413,24,50,2,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274378,5/22/2019 20:12,001XX N ASHLAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,CTA BUS,TRUE,FALSE,1224,12,27,28,15,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274453,5/22/2019 20:07,036XX W WABANSIA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2535,25,26,23,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274386,5/22/2019 20:06,004XX W 72ND ST,554,ASSAULT,AGG PO HANDS NO/MIN INJURY,SIDEWALK,TRUE,FALSE,732,7,6,68,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274341,5/22/2019 20:01,002XX S STATE ST,320,ROBBERY,STRONGARM - NO WEAPON,CTA STATION,FALSE,FALSE,113,1,42,32,3,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274791,5/22/2019 20:00,044XX W MONROE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1113,11,28,26,7,,,2019,5/29/2019 16:22,,,,,,,,,,,
